rank,player,elo
339,Kenta Miyoshi,1431.0
340,Clement Tabur,1431.0
341,Jakub Paul,1430.8
342,Samir Banerjee,1427.9
343,Paul Jubb,1426.6
344,Arthur Gea,1426.3
345,Enrico Dalla Valle,1426.1
346,Murkel Alejandro Dellien Velasco,1424.7
347,Matheus Pucinelli De Almeida,1422.9
348,Christoph Negritu,1421.9
349,Jay Clarke,1420.2
350,Edward Winter,1418.1
351,Fajing Sun,1417.2
352,Adria Soriano Barrera,1416.6
353,Carlo Alberto Caniato,1414.6
354,Ivan Gakhov,1414.2
355,Lorenzo Giustino,1414.1
356,Andres Andrade,1413.3
357,Matteo Martineau,1412.0
358,Maximus Jones,1411.9
359,Luca Potenza,1411.8
360,Garrett Johns,1410.8
361,Filip Cristian Jianu,1410.5
362,Giles Hussey,1408.0
363,Mees Rottgering,1407.6
364,Santiago Fa Rodriguez Taverna,1406.9
365,Jacopo Vasami,1406.3
366,Denis Yevseyev,1405.6
367,Oleg Prihodko,1404.2
368,Facundo Mena,1403.2
369,Mae Malige,1402.1
370,Hernan Casanova,1401.6
371,Mathys Erhard,1401.2
372,Viktor Durasovic,1399.7
373,Juan Bautista Torres,1399.7
374,Patrick Zahraj,1397.7
375,Alexey Vatutin,1397.4
376,Diego Dedura Palomero,1396.5
377,Michael Geerts,1395.6
378,Adrian Andreev,1395.6
379,Lautaro Midon,1394.7
380,Milos Karol,1392.2
381,Nikolas Sanchez Izquierdo,1386.3
382,Philip Henning,1385.7
383,Tom Paris,1385.6
384,Alfredo Perez,1384.5
385,Philip Sekulic,1381.5
386,Henry Searle,1381.1
387,Daniel Michalski,1380.7
388,Jacopo Berrettini,1380.0
389,Max Houkes,1378.8
390,Robin Bertrand,1378.4
391,Jie Cui,1377.0
392,Pol Martin Tiffon,1377.0
393,Tung Lin Wu,1376.0
394,Rudolf Molleker,1374.2
395,Govind Nanda,1374.0
396,Bor Artnak,1371.5
397,Benoit Paire,1370.9
398,Nicolas Alvarez Varona,1370.4
399,Miguel Tobon,1369.5
400,Giovanni Fonio,1369.2
401,Dali Blanch,1367.5
402,Blake Ellis,1365.6
403,Hiroki Moriya,1364.2
404,Sascha Gueymard Wayenburg,1364.1
405,Tyler Zink,1363.6
406,Stefan Dostanic,1363.3
407,Aidan Mayo,1361.9
408,Raul Brancaccio,1361.8
409,Maximilian Neuchrist,1360.8
410,Khumoun Sultanov,1356.8
411,Matias Soto,1353.4
412,Omar Jasika,1352.0
413,Kokoro Isomura,1351.8
414,Federico Arnaboldi,1350.5
415,Toby Alex Kodat,1347.9
416,Micah Braswell,1346.1
417,Kaichi Uchida,1345.2
418,Gabi Adrian Boitan,1345.2
419,Christian Langmo,1344.0
420,Ergi Kirkin,1343.6
421,Aleksandre Bakshi,1340.0
422,Charles Broom,1337.9
423,Franco Roncadelli,1337.4
424,Robert Strombachs,1336.7
425,Jelle Sels,1333.2
426,Aryan Shah,1333.2
427,Cannon Kingsley,1331.6
428,Pedro Sakamoto,1330.6
429,Daniel Dutra Da Silva,1327.0
430,Yusuke Takahashi,1325.1
431,Andrea Picchione,1324.4
432,Patrick Maloney,1320.7
433,Florent Bax,1319.7
434,Corentin Denolly,1317.9
435,Renzo Olivo,1317.5
436,Tiago Pereira,1313.8
437,Olle Wallin,1312.4
438,Lukas Pokorny,1310.5
439,Blaise Bicknell,1308.3
440,Saba Purtseladze,1308.0
441,Maxime Janvier,1305.8
442,Max Wiskandt,1304.2
443,Dan Martin,1301.9
444,Taha Baadi,1300.1
445,Renta Tokuda,1297.0
446,Mateus Alves,1291.6
447,Carlos Sanchez Jover,1289.4
448,Darwin Blanch,1287.4
449,Keegan Smith,1287.1
450,Gonzalo Villanueva,1284.9
451,Naoki Nakagawa,1284.8
452,Marek Gengel,1282.0
453,Guido Ivan Justo,1279.4
454,Oleksandr Ovcharenko,1277.8
455,Andrew Fenty,1276.2
456,Conner Huertas Del Pino,1275.6
